Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Saudi Arabia,SAU,0.101429893,0.49358534,2.21069,4.68105,6.38471,8.00158,10.2345,12.705,19.4596,30,36,38,41,47.5,54,60.5,64.7137,69.6162,74.8793,94.1756,93.31,95.7247,97.8623,100,100,100
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,0.83076668,3.284481956,7.03868,9.78081,10.8821,11.9137,16.0367,17.7206,20.9272,25.9466,28.1126,34,45,51,55.8,59.9,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,1.477874959,2.038732184,2.87069,4.52849,9.14943,13.2076,19.0737,21.0227,28.1784,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.551,58.328,60.8725,67.4713,70.4343,73.9124,81.3427,80.6899,80.5278,84.1506
Individuals using the Internet (% of population),IT.NET.USER.ZS,South Africa,ZAF,2.906220867,4.116249583,5.34856,6.34662,6.71032,7.00769,8.42512,7.48854,7.60714,8.06538,8.43,10,24,33.97,41,46.5,49,51.9191,54,56.1674,62.4,69.6969,72.1128,74.1534,74.703,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Spain,ESP,4.361892394,7.085039678,13.625,18.1487,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.09,69.81,71.635,76.1867,78.6896,80.5613,84.6022,86.1072,90.7187,93.2056,93.8975,94.4855,95.4456
Individuals using the Internet (% of population),IT.NET.USER.ZS,Mexico,MEX,1.265783278,1.857436221,5.08138,7.03802,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.1763,39.75,43.46,44.3857,57.431,59.5404,53.0318,56.6596,69.6321,71.4902,75.6265,78.6322,81.1832
Individuals using the Internet (% of population),IT.NET.USER.ZS,Uruguay,URY,6.987069365,9.972765285,10.5391,11.1214,11.4195,15.9371,17.0631,20.0882,29.4,34,39.3,41.8,46.4,51.4047,54.4538,57.69,61.4625,64.5708,66.4,70.3224,80.7268,83.3515,85.471,87.6444,89.873,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Paraguay,PRY,0.194904951,0.38165732,0.747631,1.09879,1.79497,2.11194,3.45244,7.90701,7.96207,11.21,14.27,18.9,19.8,24.7635,29.34,36.9,43.0074,49.7163,53.4041,61.0758,64.9935,68.5176,73.9575,77.0184,76.2592,78.0948
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean,LCN,1.22927428974655,2.04883890093369,3.88642893638884,5.63085318410615,8.86022537262179,11.2651191895568,14.3936767212527,16.6,20.7,23.7,26.5,31,34.7,39.3,43,46.1,48.7,54.3,57.5,62.3,65.3,68,74.1,76,77.6,81
Individuals using the Internet (% of population),IT.NET.USER.ZS,World,WLD,3.14057959772322,4.63290278425647,6.72028803786027,8.02265061275109,10.4781088456767,12.1611651190342,14.0374335731318,15.6,17.3,20.3,22.8,25.4,28.5,31,33.5,35.4,37.5,39.9,42.9,45.4,48.6,53.2,59.3,62.2,64.4,67.4
